year,month,sector,nom_ent,trab
1998,3,Construcción,Nuevo Leon,66913
1998,3,Construcción,Oaxaca,13526
1998,3,Construcción,Puebla,19173
1998,3,Construcción,Queretaro,19706
1998,3,Construcción,Quintana Roo,14312
1998,3,Construcción,San Luis Potosi,13483
1998,3,Construcción,Sinaloa,23291
1998,3,Construcción,Sonora,26949
1998,3,Construcción,Tabasco,19027
1998,3,Construcción,Tamaulipas,29560
1998,3,Construcción,Tlaxcala,2628
1998,3,Construcción,Veracruz,39443
1998,3,Construcción,Yucatan,14607
1998,3,Construcción,Zacatecas,7274
1998,4,Construcción,Aguascalientes,11167
1998,4,Construcción,Baja California,27335
1998,4,Construcción,Baja California Sur,9548
1998,4,Construcción,Campeche,20035
1998,4,Construcción,Chiapas,10888
1998,4,Construcción,Chihuahua,26798
1998,4,Construcción,Ciudad de México,95321
1998,4,Construcción,Coahuila,34405
1998,4,Construcción,Colima,6145
1998,4,Construcción,Durango,9703
1998,4,Construcción,Guanajuato,32091
1998,4,Construcción,Guerrero,13799
1998,4,Construcción,Hidalgo,12544
1998,4,Construcción,Jalisco,52585
1998,4,Construcción,Mexico,46217
1998,4,Construcción,Michoacan,20973
1998,4,Construcción,Morelos,9577
1998,4,Construcción,Nayarit,6266
1998,4,Construcción,Nuevo Leon,67520
1998,4,Construcción,Oaxaca,13320
1998,4,Construcción,Puebla,20050
1998,4,Construcción,Queretaro,19493
1998,4,Construcción,Quintana Roo,16112
1998,4,Construcción,San Luis Potosi,13676
1998,4,Construcción,Sinaloa,22412
1998,4,Construcción,Sonora,26956
1998,4,Construcción,Tabasco,18389
1998,4,Construcción,Tamaulipas,29924
1998,4,Construcción,Tlaxcala,2577
1998,4,Construcción,Veracruz,40515
1998,4,Construcción,Yucatan,15047
1998,4,Construcción,Zacatecas,7210
1998,5,Construcción,Aguascalientes,10850
1998,5,Construcción,Baja California,26850
1998,5,Construcción,Baja California Sur,9776
1998,5,Construcción,Campeche,20764
1998,5,Construcción,Chiapas,11057
1998,5,Construcción,Chihuahua,26330
1998,5,Construcción,Ciudad de México,95972
1998,5,Construcción,Coahuila,33426
1998,5,Construcción,Colima,6278
1998,5,Construcción,Durango,9304
1998,5,Construcción,Guanajuato,32051
1998,5,Construcción,Guerrero,13761
1998,5,Construcción,Hidalgo,11785
1998,5,Construcción,Jalisco,51942
1998,5,Construcción,Mexico,45311
1998,5,Construcción,Michoacan,20574
1998,5,Construcción,Morelos,9945
1998,5,Construcción,Nayarit,6239
1998,5,Construcción,Nuevo Leon,65946
1998,5,Construcción,Oaxaca,12922
1998,5,Construcción,Puebla,20641
1998,5,Construcción,Queretaro,18719
1998,5,Construcción,Quintana Roo,17794
1998,5,Construcción,San Luis Potosi,13211
1998,5,Construcción,Sinaloa,21824
1998,5,Construcción,Sonora,25698
1998,5,Construcción,Tabasco,17555
1998,5,Construcción,Tamaulipas,31653
1998,5,Construcción,Tlaxcala,2642
1998,5,Construcción,Veracruz,43267
1998,5,Construcción,Yucatan,14340
1998,5,Construcción,Zacatecas,6977
1998,6,Construcción,Aguascalientes,11502
1998,6,Construcción,Baja California,27426
1998,6,Construcción,Baja California Sur,10306
1998,6,Construcción,Campeche,21721
1998,6,Construcción,Chiapas,11401
1998,6,Construcción,Chihuahua,27000
1998,6,Construcción,Ciudad de México,98521
1998,6,Construcción,Coahuila,33246
1998,6,Construcción,Colima,6791
1998,6,Construcción,Durango,9226
1998,6,Construcción,Guanajuato,32879
1998,6,Construcción,Guerrero,14510
